"","author","title","first_pub"
"127","LudwigTieck","DasgrüneBand",1792
"128","LudwigTieck","Alla-Moddin",1791
"129","LudwigTieck","Ryno",1791
"130","WackenroderWilhelm…","Herzensergießungen…",1797
"131","HoffmannE.T.A.","MeisterFloh",1822
"132","E.T.A.Hoffmann","DesVettersEckfens…",1822
"133","E.T.A.Hoffmann","DieSerapions-Brüder",1821
"134","E.T.A.Hoffmann","DieGeheimnisse/M…",1821
"135","E.T.A.Hoffmann","PrinzessinBrambilla",1821
"136","E.T.A.Hoffmann","DerElementargeist",1821
"137","E.T.A.Hoffmann","DieIrrungen/Verl…",1820
"138","E.T.A.Hoffmann","Lebensansichtendes…",1820
"139","E.T.A.Hoffmann","KleinZaches",1819
"140","E.T.A.Hoffmann","DieBergwerkezuFa…",1819
"141","E.T.A.Hoffmann","Haimatochare",1819
"142","E.T.A.Hoffmann","DasFräuleinvonSc…",1819
"143","E.T.A.Hoffmann","MeisterMartinder…",1818
"144","E.T.A.Hoffmann","RatKrespel",1818
"145","E.T.A.Hoffmann","SeltsameLeidenein…",1818
"146","HoffmannE.T.A.","Nachtstücke",1817
"147","E.T.A.Hoffmann","DasMajorat",1817
"148","E.T.A.Hoffmann","IgnazDenner",1817
"149","E.T.A.Hoffmann","DasSanctus",1817
"150","E.T.A.Hoffmann","DieJesuiterkirche…",1817
"151","E.T.A.Hoffmann","DerSandmann",1817
"152","E.T.A.Hoffmann","DasödeHaus",1817
"153","E.T.A.Hoffmann","DasGelübde",1817
"154","E.T.A.Hoffmann","DasfremdeKind",1817
"155","E.T.A.Hoffmann","DassteinerneHerz",1817
"156","delaMotteFouqué…","MagiederNatur",1812
"157","MotteFouquéCaroli…","DieFraudesFalken…",1810
"158","ClemensBrentano","Godwi",1801
"159","ClemensBrentano","Rheinmärchen",1846
"160","BrentanoClemens","GockelHinkelund…",1838
"161","BrentanoClemens","Geschichtevombrav…",1838
"162","ClemensBrentano","DieChronikadesfa…",1818
"163","ClemensBrentano","DiemehrerenWehmül…",1817
"164","ClemensBrentano","DiedreiNüsse",1817
"165","AchimvonArnim","HolländischeLiebha…",1826
"166","AchimvonArnim","OwenTudor",1821
"167","AchimvonArnim","DieMajoratsherren",1820
"168","ArnimAchimvon","DertolleInvalide…",1818
"169","AchimvonArnim","FrauvonSaverne",1817
"170","AchimvonArnim","DieKronenwächter",1817
"171","AchimvonArnim","IsabellavonÄgypten",1812
"172","AchimvonArnim","ArmutReichtumSc…",1810
"173","AchimvonArnim","MistrisLee",1809
"174","ArnimAchimvon","DesKnabenWunderho…",1808
"175","AchimvonArnim","Hollin'sLiebeleben",1802
"176","ChamissoAdelbertv…","PeterSchlemihl'sw…",1814
"177","BettinavonArnim","ClemensBrentanosF…",1844
"178","ArnimBettinavon","DieGünderode",1840
"179","UhlandLudwig","Gedichte",1815
"180","EichendorffJoseph…","AhnungundGegenwart",1815
"181","EichendorffJoseph…","Gedichte",1837
"182","EichendorffJoseph…","DichterundihreGe…",1834
"183","EichendorffJoseph…","AusdemLebeneines…",1826
"184","WilhelmHauff","Othello",1826
"185","WilhelmHauff","DerMannimMond",1826
"186","WilhelmHauff","Mitteilungenausde…",1826
"187","WilhelmHauff","Lichtenstein",1826
