"","gnd_id","author","title","date","link"
"77397","http://d-nb.info/gnd/118637479","Stefan Zweig","Schachnovelle",1943,"https://kolimo.uni-goettingen.de/text.html?id=gb6028"
"28503","http://d-nb.info/gnd/118535315","Sigmund Freud","Psychopathische Per…",1942,"https://kolimo.uni-goettingen.de/text.html?id=gb12285"
"9528","http://d-nb.info/gnd/118637231","Albin Zollinger","Der Fröschlacher Ku…",1941,"https://kolimo.uni-goettingen.de/text.html?id=gb16996"
"77386","http://d-nb.info/gnd/118637479","Stefan Zweig","Brasilien",1941,"https://kolimo.uni-goettingen.de/text.html?id=gb6037"
"9529","http://d-nb.info/gnd/118637231","Albin Zollinger","Pfannenstiel",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb16998"
"9650","http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Das glückliche Tal",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb2968"
"28451","http://d-nb.info/gnd/118535315","Sigmund Freud","Die Ichspaltung im …",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb12270"
"28484","http://d-nb.info/gnd/118535315","Sigmund Freud","Die psychoanalytisc…",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb12281"
"28887","http://d-nb.info/gnd/118598538","Friedrich Ratzel","Erdenmacht und Völk…",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb4804"
"55856","http://d-nb.info/gnd/118723618","Kurt Kluge","Die Zaubergeige",1940,"https://kolimo.uni-goettingen.de/text.html?id=gb8982"
"28435","http://d-nb.info/gnd/118535315","Sigmund Freud","Der Mann Moses und …",1939,"https://kolimo.uni-goettingen.de/text.html?id=gb12351"
"77407","http://d-nb.info/gnd/118637479","Stefan Zweig","Ungeduld des Herzens",1939,"https://kolimo.uni-goettingen.de/text.html?id=gb6031"
"77408","http://d-nb.info/gnd/118637479","Stefan Zweig","Maria Stuart",1939,"https://kolimo.uni-goettingen.de/text.html?id=gb6019"
"25513","http://d-nb.info/gnd/118630458","Ernst Weiß","Der Verführer",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb20062"
"48261","http://d-nb.info/gnd/118603140","Joseph Roth","Die Kapuzinergruft",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb15399"
